placeID,Altitude,longitude,alcohol,smoking_area,dress_code,accessibility,price,Rambience,0ranchise,area,other_services,Parking_Value,name
132560,9.983748074,0.212436388,0.000001,10,10,0.000001,0.000001,0.000001,0.000001,10,0.000001,10,puesto de gorditas
132561,9.931742604,0.0000001,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,cafe ambar
132564,9.94012038,0.098201766,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,churchs
132572,6.697005078,9.811322689,0.000001,0.000001,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,5,Cafe Chaires
132583,0.127513198,0.566880997,0.000001,0.000001,10,10,0.000001,0.000001,10,0.000001,0.000001,0.001,McDonalds Centro
132584,9.98387194,0.203891069,0.000001,0.000001,10,10,5,0.000001,10,0.000001,0.000001,5,Gorditas Dona Tota
132594,9.983469733,0.206104945,0.000001,0.000001,10,10,0.000001,0.000001,0.000001,10,0.000001,10,tacos de barbacoa enfrente del Tec
132608,9.997014365,0.203059354,0.000001,10,10,10,0.000001,10,10,10,0.000001,10,Hamburguesas La perica
132609,10,0.206922991,0.000001,0.000001,10,10,0.000001,10,10,0.000001,0.000001,5,Pollo_Frito_Buenos_Aires
132613,9.984971223,0.202777034,0.000001,10,10,10,5,0.000001,10,0.000001,0.000001,5,carnitas_mata
132626,9.953708682,0.045349491,0.000001,2,10,10,5,0.000001,10,0.000001,0.000001,5,la perica hamburguesa
132630,9.98502632,0.199604215,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,palomo tec
132654,9.949504999,0.016202143,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,Carnitas Mata  Calle 16 de Septiembre
132660,9.98505142,0.200690386,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,carnitas mata calle Emilio Portes Gil
132663,9.984169667,0.21264826,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,tacos abi
132665,9.952105364,0.040667809,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,TACOS CORRECAMINOS
132667,9.984550447,0.193752244,0.000001,2,10,10,0.000001,0.000001,10,0.000001,0.000001,0.001,little pizza Emilio Portes Gil
132668,9.954991417,0.133793591,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,TACOS EL GUERO
132706,9.936634384,0.030761885,0.000001,0.000001,10,0.000001,5,0.000001,10,0.000001,0.000001,10,Gorditas Dona Tota
132715,9.943177437,0.169046842,0.000001,2,10,0.000001,0.000001,10,0.000001,10,0.000001,0.001,tacos de la estacion
132717,9.942029791,0.125811862,0.000001,0.000001,10,5,5,0.000001,0.000001,0.000001,0.000001,10,tortas hawai
132723,6.711874279,9.953971783,10,7,10,10,5,0.000001,0.000001,0.000001,0.000001,10,Gordas de morales
132732,9.987937064,0.235435776,0.000001,2,5,10,0.000001,0.000001,0.000001,10,0.000001,0.001,Taqueria EL amigo 
132733,9.984570445,0.189578423,0.000001,0.000001,10,10,5,0.000001,10,0.000001,0.000001,5,Little Cesarz
132740,9.983528503,0.210955914,0.000001,10,10,10,0.000001,0.000001,0.000001,10,0.000001,0.001,Carreton de Flautas y Migadas
132754,6.709434102,9.800305884,0.000001,2,10,5,5,0.000001,0.000001,0.000001,0.000001,0.001,Cabana Huasteca
132755,6.720833224,9.952399305,0.000001,2,10,5,5,0.000001,0.000001,0.000001,10,10,La Estrella de Dimas
132766,0.102795749,0.552222416,5,2,10,0.000001,5,0.000001,0.000001,0.000001,0.000001,5,Mikasa
132767,0.045473437,0.192003645,5,10,5,5,5,0.000001,0.000001,10,10,5,Restaurant 0 El Chino
132768,0.134620686,0.55796188,0.000001,0.000001,5,5,5,0.000001,10,0.000001,0.000001,0.001,Mariscos Tia Licha
132773,0.02079374,0.440638557,5,10,10,0.000001,0.000001,0.000001,0.000001,10,0.000001,0.001,El cotorreo
132825,6.708728659,9.760747904,0.000001,2,10,10,0.000001,0.000001,0.000001,10,0.000001,0.001,puesto de tacos
132830,6.715783499,9.532894823,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,Rincon Huasteco
132834,6.727250982,9.77361793,0.000001,0.000001,5,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,10,Gorditas Doa Gloria
132845,6.665672339,9.327984877,0.000001,2,10,0.000001,5,0.000001,0.000001,0.000001,0.000001,0.001,Cenaduria El RincÃ³n de Tlaquepaque
132846,6.698282712,9.548149064,0.000001,10,5,0.000001,0.000001,0.000001,0.000001,10,0.000001,0.001,el lechon potosino 
132847,6.702493129,9.520436449,0.000001,2,10,0.000001,0.000001,0.000001,0.000001,10,0.000001,0.001,don burguers
132851,6.687260902,9.505669041,0.000001,0.000001,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,5,KFC
132854,6.689283771,9.525403606,5,2,10,10,5,0.000001,0.000001,0.000001,0.000001,5,Sirlone
132856,6.71686258,9.716279547,5,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,Unicols Pizza
132858,6.675873616,9.519445962,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,Hamburguesas Valle Dorado
132861,6.710165869,9.940603885,0.000001,0.000001,10,10,5,0.000001,10,0.000001,0.000001,5,Carls Jr
132862,6.715362111,9.781371489,5,2,5,10,10,0.000001,0.000001,0.000001,0.000001,5,La Posada del Virrey
132866,6.69613312,9.48851479,0.000001,0.000001,10,10,5,0.000001,0.000001,0.000001,0.000001,5,Chaires
132869,6.696171076,9.449686532,0.000001,0.000001,10,0.000001,5,0.000001,0.000001,0.000001,0.000001,5,Dominos Pizza
132870,6.699925209,9.510428007,0.000001,0.000001,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,Tortas y hamburguesas el gordo
132872,6.762199704,9.821263837,0.000001,0.000001,10,5,5,0.000001,0.000001,0.000001,0.000001,10,Pizzeria Julios
132875,6.713848785,9.816934924,5,7,10,0.000001,10,0.000001,10,10,5,5,shi ro ie
132877,6.684183439,9.507635821,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,sirloin stockade
132884,6.69278201,9.99624782,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,0.001,dairy queen
132885,6.774283046,9.631121299,0.000001,2,10,10,0.000001,0.000001,0.000001,0.000001,0.000001,10,Hamburguesas saul
132921,6.714672584,9.792511317,5,7,5,10,0.000001,10,0.000001,10,0.000001,0.001,crudalia
132922,6.716365893,9.756644532,0.000001,10,0.000001,10,5,0.000001,0.000001,0.000001,0.000001,0.001,cafe punta del cielo
132925,6.721191761,9.724740222,5,0.000001,10,10,5,0.000001,0.000001,0.000001,0.000001,0.001,el pueblito
